Price,Open,High,Low,Close,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2021-02-10,75458.86590456495,75458.86590456495,74545.3203125,74545.3203125,23025766
2021-02-15,76555.1208246734,77194.60274086994,76098.34802739014,76920.5390625,23529706
2021-02-16,77194.60518808893,78564.92362338045,76920.54150103063,77560.0234375,20483100
2021-02-17,76646.47409292367,76920.53776667669,75824.28307166466,76006.9921875,18307735
2021-02-18,76006.99390986601,76372.41214981729,75002.09375,75002.09375,21327683
2021-02-19,75184.81907347155,75641.5919718523,73997.2095376816,75458.8828125,25880879
2021-02-22,76555.12617852798,76920.54444190998,75093.453125,75093.453125,25419886
2021-02-23,74179.89020579268,75732.91746379573,74088.53566120427,74910.7265625,20587314
2021-02-24,74728.01747332317,76372.39927591463,74271.2447503811,74910.7265625,26807651
2021-02-25,76737.82825322392,78016.79205744431,75824.28267878077,77925.4375,34155986
2021-02-26,75641.57931818182,76189.70670454546,74910.74280303031,75367.515625,38520800
2021-03-02,77742.7165912829,77925.42567845395,75824.27117598684,76372.3984375,33498180
2021-03-03,76281.07087053572,76737.84375,75641.58883928572,76737.84375,19882132
2021-03-04,75458.86536711165,76006.99271844659,75093.44713288835,75276.15625,24348331
2021-03-05,74088.5481501218,75458.86654993909,74088.5481501218,75002.09375,20508971
2021-03-08,75732.91746379573,75824.27200838414,74545.30838414634,74910.7265625,17641256
2021-03-09,74362.6171875,74819.39002034705,73631.78065494473,74362.6171875,25420764
2021-03-10,75276.15427997528,75367.5088361403,73723.12682516997,73905.8359375,20038422
2021-03-11,73997.18111661586,75367.49928544207,73997.18111661586,74910.7265625,23818297
2021-03-12,75915.65749547101,76281.0758227657,75276.17542270532,75641.59375,13530573
2021-03-15,75641.56895629584,75732.92350817543,74728.0234375,74728.0234375,13735798
2021-03-16,75093.46625905797,75824.30291364735,75002.1116772343,75641.59375,12293537
2021-03-17,75641.57749848116,75732.9320606774,74910.7410009113,75184.8046875,11625146
2021-03-18,75641.58293124246,76555.12861881785,75458.87379372738,75732.9375,18585244
2021-03-19,75002.09192803725,75367.51015911173,74728.02825473138,74819.3828125,15869700
2021-03-22,74910.7265625,75184.79019626524,74636.66292873476,74910.7265625,12670506
2021-03-23,75458.85985253668,75732.92350817543,74728.0234375,74728.0234375,13299907
2021-03-24,73997.203125,74545.33055555556,73723.13940972222,73997.203125,17926638
