Price,Open,High,Low,Close,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2010-02-09,11143.108805231603,11336.7724609375,11053.72557952119,11336.7724609375,16834200
2010-02-10,11366.56728709644,11381.464491928808,11202.698033940398,11247.3896484375,13174200
2010-02-11,11277.179308650066,11396.356897116644,11262.282110091743,11366.5625,13208300
2010-02-12,11426.153798177083,11426.153798177083,11098.415358072916,11172.9013671875,22879300
2010-02-16,11172.903878348214,11306.978724888393,11143.109468005952,11262.287109375,7723550
2010-02-17,11500.639511793966,11604.919921875,11381.461900272785,11604.919921875,13997150
2010-02-18,11604.922804939517,11634.717215221775,11500.642368951614,11545.333984375,7251900
2010-02-19,11455.947859272203,11575.12547029194,11306.975845497533,11321.873046875,11094000
2010-02-22,11500.64088272154,11590.024102017303,11470.846476289618,11515.5380859375,11580550
2010-02-23,11530.436685136896,11530.436685136896,11262.286994784876,11426.15625,12568850
2010-02-24,11306.978677952544,11336.773088171127,11172.903831968917,11202.6982421875,15052500
2010-02-25,11232.489459493885,11292.078262992527,10934.545442000679,10964.33984375,19273900
2010-02-26,11023.929745253696,11143.107364121304,10919.64932874454,11083.5185546875,15576350
2010-03-02,11336.770883218343,11530.434511972402,11262.28487215909,11470.845703125,23494700
2010-03-03,11485.7470703125,11515.541485540289,11366.569409401345,11485.7470703125,9713550
2010-03-04,11485.74450378819,11500.641708073259,11262.286439512154,11336.7724609375,10205050
2010-03-05,11366.567522681453,11545.333984375,11366.567522681453,11545.333984375,11754700
2010-03-08,11768.787037313137,11798.581434875954,11694.30104340609,11709.1982421875,19563300
2010-03-09,11724.09544096891,11724.09544096891,11575.12345315482,11709.1982421875,12211750
2010-03-10,11709.20261180644,11724.099816147162,11590.024977080675,11679.408203125,11367600
2010-03-11,11768.787882591581,11828.376681997108,11590.021484375,11590.021484375,19631000
2010-03-12,11590.021484375,11679.40468348329,11485.741085415328,11590.021484375,9997950
2010-03-15,11649.614585876465,11664.511791229248,11381.464889526367,11441.0537109375,11156550
2010-03-16,11441.048039215688,11470.842435151144,11292.0760595384,11396.3564453125,16548150
2010-03-17,11500.642392113095,11887.9697265625,11485.745186941964,11887.9697265625,21840650
2010-03-18,11843.275907700752,12022.042336496235,11843.275907700752,11873.0703125,15393500
2010-03-19,11932.659952192165,12022.043172807837,11887.968341884329,11977.3515625,10711200
2010-03-22,11962.452605629682,11977.349806882023,11798.583391853932,11932.658203125,9191800
2010-03-23,12022.04250883614,12141.22012974158,11992.248103609782,12051.8369140625,9923300
2010-03-24,12141.219784989316,12290.191806891025,12111.425380608975,12200.80859375,15926950
2010-03-25,12141.219784989316,12245.500200320512,12051.83657184829,12200.80859375,9481650
2010-03-26,12260.397662204648,12290.192067216081,12096.528434641768,12215.7060546875,10481650
2010-03-29,12066.734484833436,12290.19253084887,12066.734484833436,12185.912109375,7756350
2010-03-30,12319.990849825323,12349.785265423448,12096.532732839374,12126.3271484375,12042400
2010-03-31,12126.323297104218,12424.26735845813,12111.426094036522,12185.912109375,21699800
2010-04-01,12305.091766826923,12588.138671875,12275.297355769231,12588.138671875,28068050
2010-04-02,12603.034082828908,12811.594930535297,12528.548065790912,12766.9033203125,20907050
2010-04-05,12826.493514278018,12960.568359375,12766.904694234914,12960.568359375,15201700
2010-04-06,13020.153975474683,13035.05117681962,12826.490357990506,12945.66796875,16494250
2010-04-07,12886.08146623072,12945.670282259533,12692.41781413708,12796.6982421875,19418550
2010-04-08,12766.904854749058,12856.2880859375,12707.316033956764,12856.2880859375,13447700
2010-04-09,12871.185455607478,12900.979866384347,12632.830169392524,12752.0078125,13757650
2010-04-12,12796.698616340362,12811.595820783132,12319.988074171686,12364.6796875,24897000
2010-04-13,12424.266021286232,12424.266021286232,12141.219193463165,12334.8828125,20446350
2010-04-14,12439.166616586539,12617.933082932692,12409.372205528845,12588.138671875,15369350
2010-04-15,12841.390787189328,12841.390787189328,12573.241095577485,12737.1103515625,18248400
2010-04-16,12737.105591971918,12781.797190540241,12528.54479865308,12632.8251953125,11003100
2010-04-19,12468.960328181682,12513.651942261185,12305.091076556833,12319.98828125,12357100
2010-04-20,12319.985611035629,12394.471618357487,12230.602402249397,12334.8828125,13571500
2010-04-21,12483.85614959287,12707.314195229974,12439.16454046545,12692.4169921875,13200200
2010-04-22,12647.726462637485,12647.726462637485,12409.371193612515,12528.548828125,17161750
2010-04-23,12632.82936746988,12632.82936746988,12334.885278614458,12364.6796875,15442000
2010-04-26,12439.163803722648,12543.444218843675,12364.677792921913,12424.2666015625,13009350
