Price,Open,High,Low,Close,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2019-02-13,39355.079274891774,39609.530218479435,39015.811350108226,39185.4453125,11299738
2019-02-14,39524.70973684211,40288.0625,39143.03335526316,40288.0625,17259341
2019-02-15,39651.937601791535,39736.754580618894,38718.95083469056,39058.21875,10554643
2019-02-18,39439.89625608766,39736.75569027327,38888.58587831439,39185.4453125,8183728
2019-02-19,38888.581465927644,39143.03238064473,38549.3135796382,38973.3984375,6741395
2019-02-20,39651.93469732809,39948.79410147921,39439.892265791575,39779.16015625,11506720
2019-02-21,39439.901657348244,40033.62060702876,39185.45067891374,39821.578125,8694009
2019-02-22,39439.90050039767,39991.2109375,39397.49200523595,39991.2109375,6895772
2019-02-25,40203.248333553325,40330.47380296331,39906.38890493004,40160.83984375,7484716
2019-02-26,40160.839371657756,40245.65635026738,39439.895053475935,39651.9375,7985547
2019-02-27,39863.979946524065,40076.02239304813,39651.9375,39651.9375,8045211
2019-02-28,39355.08176274945,39439.898749307096,38252.4609375,38252.4609375,23569321
2019-03-04,39015.813301282054,39100.63028671962,37998.00947603122,38040.41796875,12926539
2019-03-05,37828.371133474575,38252.45601165254,37446.69474311441,37531.51171875,10612405
2019-03-06,37319.4609375,37573.91180752841,37065.010067471594,37319.4609375,10202544
2019-03-07,36810.56631397638,38125.22939661839,36810.56631397638,37701.14453125,11049749
2019-03-08,37701.15421660959,37998.01369863014,37149.84375,37149.84375,7729069
2019-03-11,37658.7406572165,37701.149148947596,37022.61328125,37022.61328125,10717408
2019-03-12,37573.9256981383,38125.23612034575,37446.70021609043,37870.78515625,11431977
2019-03-13,37531.52190083381,37701.15589812571,37065.028408281076,37192.25390625,8108343
2019-03-14,37065.028408281076,37573.93040015679,36937.802910312144,37192.25390625,18039161
2019-03-15,37149.841416855204,37531.5178697681,37065.024427319004,37489.109375,16814163
2019-03-18,37277.06197708095,37446.69593374571,36852.97708541905,37065.01953125,8188876
2019-03-19,37107.43077306378,37234.65625,36937.79680381549,37234.65625,7609563
2019-03-20,37149.84811293984,37489.1161322361,36556.1290791714,37361.890625,9846242
2019-03-21,37828.36987118321,39227.849922471374,37361.876520753816,38888.58203125,21138016
2019-03-22,39736.75169928169,39863.97715829753,39227.84986321831,39482.30078125,12535911
2019-03-25,38422.088710508244,38718.94811555632,37998.00384615385,38591.72265625,8699728
2019-03-26,38591.71818888121,38761.352114986184,38082.816410566295,38379.67578125,9729811
2019-03-27,37955.59427112045,38676.53851984564,37531.50941892916,38464.49609375,9568081
2019-03-28,38425.17566802536,38638.88632246377,37869.527966485504,38339.69140625,6821306
2019-03-29,38040.50405060191,38382.44116566349,37784.05121430571,38168.73046875,11491713
2019-04-01,38638.89830743618,38852.609028163155,38339.703298418426,38510.671875,7362129
2019-04-02,38938.08614241803,39408.24964139344,38767.117597336066,39109.0546875,9480688
2019-04-03,39963.894367791036,39963.894367791036,39151.793840531114,39835.66796875,12436570
2019-04-04,39450.989146532214,40263.089681509584,39450.989146532214,40134.86328125,12650168
2019-04-05,40134.86708744664,40647.77273712647,39835.6721251334,40049.3828125,8546339
2019-04-08,40391.31970960611,40391.31970960611,39450.992689911574,39878.4140625,8507909
2019-04-09,39921.15619975884,40134.86688605305,39493.73482717042,39878.4140625,6878761
2019-04-10,39664.69954496788,39921.15234375,39365.50461305541,39921.15234375,11883995
2019-04-11,39921.155793918915,40006.64006756757,39450.99228885135,39536.4765625,13697399
2019-04-12,39365.5086129269,40092.12494997332,39322.76647545357,40049.3828125,7668936
2019-04-15,40305.82800876727,40605.02291445271,40177.60162061636,40220.34375,8733019
2019-04-16,40519.542807539685,40519.542807539685,40006.63720238095,40391.31640625,7730881
2019-04-17,40434.054396918174,40690.50717321998,40177.60162061636,40220.34375,5513658
2019-04-18,40348.572436951756,40391.31456877056,38895.33995511239,38980.82421875,12808747
2019-04-19,39109.058166908115,39322.76886727373,38681.636766176875,38724.37890625,8479710
2019-04-22,38809.85150220507,39237.27277425579,38553.39873897465,38767.109375,6006957
2019-04-23,38510.66421805863,38895.343438882745,38467.922082411504,38638.890625,6920566
